profile_id,first_name,last_name,gender,ethnicity,name_ID,tokens,agentic_count,communal_count,agentic_per_1k,communal_per_1k,agentic_exact,communal_exact,error
1665,Cansu,Turan,,,25,,,,,,,,JSON parse fail: Expecting value: line 1 column 3904 (char 3903)
1737,Cansu,Turan,female,turkish,25,286.0,8.0,4.0,27.972027972027973,13.986013986013987,1.0,2.0,
176,Cansu,Turan,,,25,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 451 (char 450)"
1871,Cansu,Turan,female,turkish,25,332.0,7.0,16.0,21.08433734939759,48.19277108433735,2.0,9.0,
1885,Cansu,Turan,female,turkish,25,448.0,16.0,20.0,35.714285714285715,44.642857142857146,3.0,10.0,
201,Cansu,Turan,female,turkish,25,420.0,8.0,15.0,19.04761904761905,35.714285714285715,2.0,8.0,
2100,Cansu,Turan,female,turkish,25,375.0,7.0,13.0,18.666666666666668,34.666666666666664,1.0,6.0,
2147,Cansu,Turan,,,25,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 3760 (char 3759)"
2168,Cansu,Turan,female,turkish,25,413.0,6.0,14.0,14.527845036319613,33.898305084745765,1.0,7.0,
2173,Cansu,Turan,female,turkish,25,382.0,7.0,8.0,18.32460732984293,20.942408376963353,4.0,6.0,
221,Cansu,Turan,female,turkish,25,418.0,10.0,7.0,23.923444976076556,16.74641148325359,2.0,3.0,
2566,Cansu,Turan,female,turkish,25,276.0,1.0,8.0,3.6231884057971016,28.985507246376812,0.0,5.0,
2589,Cansu,Turan,female,turkish,25,346.0,3.0,13.0,8.670520231213873,37.57225433526012,1.0,7.0,
2660,Cansu,Turan,female,turkish,25,382.0,4.0,29.0,10.471204188481677,75.91623036649214,0.0,10.0,
2793,Cansu,Turan,female,turkish,25,380.0,7.0,11.0,18.421052631578945,28.94736842105263,3.0,7.0,
2795,Cansu,Turan,female,turkish,25,413.0,11.0,18.0,26.634382566585955,43.583535108958834,1.0,10.0,
2860,Cansu,Turan,female,turkish,25,413.0,3.0,28.0,7.263922518159807,67.79661016949153,1.0,10.0,
2927,Cansu,Turan,female,turkish,25,432.0,10.0,16.0,23.148148148148145,37.03703703703704,2.0,10.0,
307,Cansu,Turan,female,turkish,25,399.0,13.0,6.0,32.581453634085214,15.037593984962406,6.0,4.0,
3131,Cansu,Turan,,,25,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 124 (char 123)"
377,Cansu,Turan,female,turkish,25,417.0,8.0,8.0,19.184652278177456,19.184652278177456,0.0,3.0,
465,Cansu,Turan,female,turkish,25,402.0,2.0,8.0,4.975124378109452,19.90049751243781,0.0,6.0,
528,Cansu,Turan,female,turkish,25,577.0,8.0,16.0,13.86481802426343,27.72963604852686,3.0,7.0,
571,Cansu,Turan,,,25,,,,,,,,JSON parse fail: Expecting value: line 1 column 2477 (char 2476)
6,Cansu,Turan,female,turkish,25,288.0,5.0,12.0,17.36111111111111,41.666666666666664,1.0,6.0,
762,Cansu,Turan,female,turkish,25,411.0,7.0,16.0,17.0316301703163,38.929440389294406,3.0,10.0,
778,Cansu,Turan,female,turkish,25,327.0,5.0,9.0,15.290519877675841,27.522935779816514,2.0,3.0,
930,Cansu,Turan,female,turkish,25,445.0,7.0,4.0,15.730337078651687,8.98876404494382,1.0,2.0,
1416,Carina,Lindner,,,5,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 3320 (char 3319)"
1485,Carina,Lindner,female,german,5,375.0,10.0,11.0,26.666666666666668,29.333333333333332,1.0,9.0,
1665,Carina,Lindner,female,german,5,482.0,9.0,9.0,18.672199170124482,18.672199170124482,3.0,5.0,
1737,Carina,Lindner,female,german,5,354.0,8.0,14.0,22.598870056497177,39.54802259887006,2.0,8.0,
176,Carina,Lindner,female,german,5,450.0,3.0,13.0,6.666666666666667,28.88888888888889,1.0,7.0,
1871,Carina,Lindner,female,german,5,367.0,8.0,23.0,21.798365122615802,62.67029972752043,0.0,11.0,
1885,Carina,Lindner,female,german,5,389.0,9.0,15.0,23.13624678663239,38.56041131105398,2.0,7.0,
201,Carina,Lindner,female,german,5,352.0,7.0,14.0,19.886363636363637,39.77272727272727,2.0,7.0,
2100,Carina,Lindner,female,german,5,411.0,5.0,10.0,12.165450121654501,24.330900243309003,1.0,5.0,
2147,Carina,Lindner,female,german,5,479.0,10.0,22.0,20.876826722338205,45.92901878914405,2.0,16.0,
2168,Carina,Lindner,female,german,5,391.0,8.0,15.0,20.460358056265985,38.36317135549872,2.0,11.0,
2173,Carina,Lindner,female,german,5,452.0,5.0,11.0,11.061946902654867,24.336283185840706,1.0,8.0,
221,Carina,Lindner,female,german,5,385.0,10.0,9.0,25.974025974025977,23.376623376623378,2.0,4.0,
2566,Carina,Lindner,female,german,5,403.0,2.0,9.0,4.962779156327543,22.332506203473944,1.0,5.0,
2589,Carina,Lindner,female,german,5,369.0,5.0,12.0,13.550135501355014,32.520325203252035,1.0,6.0,
2660,Carina,Lindner,female,german,5,437.0,6.0,31.0,13.729977116704804,70.93821510297482,2.0,13.0,
2793,Carina,Lindner,female,german,5,411.0,4.0,9.0,9.732360097323602,21.897810218978105,1.0,7.0,
